nroDireccion,cutoff,n_meses_pre_cutoff,n_meses_post_cutoff,primer_mes,ultimo_mes_pre,primer_mes_post,total_facturado_pre,total_pagado_pre,total_pendiente_pre,ratio_pago_pre,ratio_pago_post,pct_pendiente_post,cumple_pago_heur,split,emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,emb_8,emb_9,emb_10,emb_11,emb_12,emb_13,emb_14,emb_15,emb_16,emb_17,emb_18,emb_19,emb_20,emb_21,emb_22,emb_23,emb_24,emb_25,emb_26,emb_27,emb_28,emb_29,emb_30,emb_31
50171,2025-01,4,1,2023-01,2024-07,2025-08,128.0,128.0,0.0,1.0,1.0,0.0,1,train,0.5619256,-0.4238606,0.09075208,0.14413826,0.37609345,-0.12899902,-0.3017953,-0.3177692,-0.25419128,0.36821538,-0.6216686,0.4686886,-0.15968686,0.22547643,0.87168646,0.5048897,-0.15556854,0.08644867,-0.47186273,-0.089270815,-0.5555544,-0.8236527,-0.4783467,-0.26570982,0.68524164,0.49108335,-0.18866418,-0.4475617,0.0303903,0.1311208,-0.3477373,0.31059942
50303,2025-01,10,7,2023-03,2024-11,2025-02,32715.15,32713.27,1.88,0.9999828711739168,1.0,0.0,1,train,0.12011383,-0.3577513,-0.037022658,0.26943368,-0.29472652,-0.31741923,-0.27386412,-0.10824781,0.23069659,0.23852593,-1.0109965,-0.007121604,0.070050456,0.4554507,1.0795177,0.412686,-0.5237471,-0.32071927,-0.3052297,0.0051963627,-0.1710952,-1.184903,-1.0825713,-0.5946816,0.5282729,0.39488512,0.25398016,-1.0245955,-0.49604893,0.14848429,-0.36126533,0.96007234
50356,2025-01,9,7,2023-03,2024-10,2025-01,441.95,441.95,0.0,1.0,1.0,0.0,1,train,0.44199073,-0.33564752,0.07400733,0.12210186,0.278624,-0.06888653,-0.2139192,-0.28568655,-0.14181018,0.33466992,-0.50630194,0.37778988,-0.08936938,0.112761185,0.6839527,0.3933885,-0.09379688,0.026935149,-0.24479547,-0.17930111,-0.41696817,-0.59054285,-0.3727935,-0.17247614,0.531251,0.45260108,-0.17246568,-0.34056458,0.04498689,0.08202215,-0.25368497,0.2690415
50418,2025-01,13,13,2023-04,2024-12,2025-01,47982.0,47337.0,645.0,0.9966273275361713,1.0,0.0,1,train,0.038492132,-0.2078251,-0.105280094,0.30293733,-0.4972156,-0.26162446,-0.22278912,0.29389897,0.29050446,0.19429657,-1.0843366,-0.31393293,0.2598009,0.37412024,0.78913534,0.21740896,-0.36694822,-0.37846023,-0.2999677,-0.011855245,0.36317107,-1.0598755,-1.1521535,-0.47029367,0.22283177,-0.077313855,0.33000824,-0.76121664,-0.6181896,0.23971692,-0.1931026,1.157688
50527,2025-01,14,14,2023-06,2024-12,2025-01,20179.289999999997,20179.289999999997,0.0,1.0,0.8971586667548807,0.10284133324511927,0,train,0.21227644,0.06087828,0.14242435,0.11622111,-0.23775172,-0.07996401,-0.19733821,0.10280979,0.07754109,0.31821314,-0.80337393,0.029633543,0.097651355,0.30765072,0.42243105,0.13795932,-0.06487953,-0.28988796,-0.028938824,-0.19430287,0.26012772,-0.49361572,-0.78643405,-0.21116385,0.08443478,0.081720695,-0.09943667,-0.45587268,-0.27383792,0.20618755,-0.10297211,0.57846177
50571,2025-01,11,5,2023-07,2024-12,2025-01,1202.75,1202.75,0.0,1.0,1.0,0.0,1,train,0.40397435,0.07970791,0.16369411,0.19269854,0.11866348,0.14241582,-0.5135405,-0.024657145,-0.216046,0.3266267,-0.8119397,0.29812118,0.07782171,0.46966973,0.5757661,0.29901275,0.05692397,-0.17543516,-0.37737948,-0.16577286,0.047966138,-0.77146834,-0.68706286,-0.23058218,0.30787262,0.19436209,-0.0968218,-0.2922895,-0.015974753,0.13579154,-0.26593295,0.4258033
50580,2025-01,3,4,2023-08,2024-10,2025-01,392.0,392.0,0.0,1.0,1.0,0.0,1,train,0.5825578,-0.46131766,0.09075813,0.13558204,0.3889204,-0.15143889,-0.30892387,-0.33256057,-0.26273465,0.38690034,-0.63336086,0.47913963,-0.18152395,0.24109553,0.9045216,0.53205615,-0.17549706,0.09504211,-0.49727905,-0.059556387,-0.60042346,-0.853627,-0.49349076,-0.2860841,0.72528404,0.49963665,-0.20381863,-0.4842142,0.012217451,0.14535257,-0.3664601,0.31544492
50589,2025-01,6,4,2023-07,2024-11,2025-04,2462.59,2462.59,0.0,1.0,1.0,0.0,1,test,0.5067174,-0.13324189,0.14691089,0.21513507,0.22412524,0.074193746,-0.5688692,-0.1484974,-0.26793402,0.38920608,-0.7810152,0.37918982,0.003928907,0.50884455,0.83563364,0.46176916,-0.087372206,-0.104840755,-0.5133634,-0.060772665,-0.23840384,-0.98222613,-0.6777132,-0.30681875,0.5341243,0.31170976,-0.084499516,-0.48057356,-0.02870686,0.11267718,-0.3535397,0.46644333
50590,2025-01,3,2,2023-07,2023-12,2025-04,589.5,589.5,0.0,1.0,1.0,0.0,1,train,0.56968504,-0.38689187,0.11249009,0.1553399,0.34226155,-0.10263206,-0.3833507,-0.28948054,-0.26889843,0.39719522,-0.6871799,0.4579158,-0.14455882,0.33793408,0.9107908,0.5292527,-0.16471025,0.06108876,-0.52930564,-0.039081395,-0.5158487,-0.9356766,-0.5613652,-0.31076372,0.70385927,0.45187813,-0.16807075,-0.51448977,-0.009262885,0.15047505,-0.38372493,0.37434217
50591,2025-01,12,14,2023-07,2024-12,2025-02,3808.7,3808.7,0.0,1.0,1.0,0.0,1,train,0.34378695,0.019025119,0.14120924,0.16023862,0.016749933,0.06632607,-0.3477296,-0.04671625,-0.09350064,0.35672852,-0.7714239,0.23361464,0.057837244,0.3647691,0.52128184,0.260225,0.020619832,-0.19150545,-0.19099863,-0.19870126,0.0570955,-0.6296191,-0.6538444,-0.19445425,0.25290236,0.20272034,-0.11875573,-0.3482876,-0.0808827,0.16203925,-0.22018799,0.44030067
50592,2025-01,5,5,2023-07,2024-09,2025-01,1260.8,1260.8,0.0,1.0,1.0,0.0,1,test,0.52342474,-0.34753782,0.09955483,0.15994698,0.29993036,-0.073479965,-0.3620193,-0.27164575,-0.22111377,0.3773892,-0.66677964,0.42574513,-0.100989826,0.31004807,0.863312,0.49056375,-0.14797865,0.029294018,-0.44768742,-0.0897793,-0.439856,-0.8695106,-0.5389803,-0.27850527,0.6392444,0.43273056,-0.13269863,-0.47201338,0.0062526837,0.1298097,-0.36697918,0.37489396
50688,2025-01,9,8,2023-09,2024-12,2025-02,851.1800000000001,851.1800000000001,0.0,1.0,1.0,0.0,1,train,0.45028734,-0.3249419,0.07376281,0.12621734,0.284215,-0.05648912,-0.2388709,-0.27773446,-0.15753388,0.337443,-0.5145609,0.38621604,-0.08597612,0.14402583,0.6964036,0.4006617,-0.09143543,0.0324572,-0.27369192,-0.16923398,-0.4125586,-0.6135049,-0.38574478,-0.18525758,0.5380754,0.43855456,-0.1632392,-0.34579694,0.045491137,0.08742232,-0.26853335,0.27360374
50709,2025-01,3,3,2023-09,2024-09,2025-05,1408.01,1408.01,0.0,1.0,1.0,0.0,1,test,0.5617666,-0.44783524,0.09601263,0.13176833,0.32231265,-0.13054112,-0.35712212,-0.31996927,-0.22162125,0.42358422,-0.66806084,0.43971702,-0.15323108,0.3175506,0.930521,0.5519483,-0.19967599,0.058647055,-0.47700456,-0.031886615,-0.551687,-0.9176332,-0.55257237,-0.3188536,0.737198,0.46604368,-0.17438985,-0.55817914,-0.036660228,0.15567327,-0.39755827,0.3821586
50710,2025-01,4,2,2023-09,2024-12,2025-02,762.15,477.15,285.0,0.75,1.0,0.0,1,train,0.44239354,-0.24602726,0.10359247,0.34852782,0.38964882,-0.05718078,-0.4606069,-0.13863885,-0.32579952,0.14427179,-0.813433,0.4328325,-0.022430815,0.3695464,0.9930905,0.4576948,-0.1473296,0.0058131255,-0.7208399,-0.13816498,-0.42308566,-1.1535853,-0.64755076,-0.28832674,0.5715284,0.5196463,0.03479206,-0.41061288,0.041196868,0.0173079,-0.37386346,0.43746492
50717,2025-01,6,7,2023-09,2024-11,2025-01,783.75,783.75,0.0,1.0,0.7511520737327189,0.2488479262672811,0,train,0.52268153,-0.060688064,0.17386092,0.23007905,0.26381287,0.08559692,-0.6085507,-0.112107866,-0.33059943,0.3480395,-0.790032,0.41050804,0.010522112,0.51606053,0.80125475,0.4343229,-0.03971628,-0.090426944,-0.5812128,-0.06334423,-0.19777454,-0.9888875,-0.6751005,-0.3087352,0.5126714,0.30912519,-0.10507892,-0.4121607,0.01059415,0.10119633,-0.32562426,0.42382258
50726,2025-01,6,8,2023-10,2024-12,2025-02,1475.0,1421.0,54.0,0.9166666666666666,1.0,0.0,1,test,0.47688198,-0.013192978,0.17039794,0.31315917,0.24820638,0.07977103,-0.6463864,-0.054737665,-0.32563052,0.24496825,-0.92602974,0.3666917,0.052892666,0.56200266,0.88587713,0.40885302,-0.071269,-0.14184268,-0.6911304,-0.083041705,-0.1461511,-1.1552567,-0.7791966,-0.32829702,0.45433694,0.33605915,-0.00047373679,-0.41635746,-0.012985477,0.07391483,-0.34925783,0.50718784
